position;code;name_en;purpose_de;name_en;purpose_en
38;S038;Kunden-Portal System;Bereitstellung und Betrieb eines Kunden-Portal Systems;Customer portal system;Provisioning and operation of a customer portal system
39;S039;FTP/SFTP Server;Bereitstellung und Betrieb eines FTP/SFTP Systems für den Datenaustausch mit externen Partnern;FTP/SFTP server;Provisioning and operation of an FTP / SFTP system for data exchange with external partners
40;S040;Tablets;Bereitstellung und Betrieb von Tablet-Hardware;Tablets;Provisioning and operation of tablet hardware
41;S041;Thin-Client Management;Bereitstellung und Betrieb eines Systems für das Management von Thin-Clients;Thin-Client management;Provisioning and operation of a system for the management of thin clients
42;S042;MPLS-Netzwerk;Bereitstellung und Betrieb eines MPLS-Netzwerks (Multi-Protocol Label Switching);MPLS network;Provisioning and operation of a MPLS network (Multi-Protocol Label Switching)
43;S043;Server-Hardware (z.B. Bladeserver);Bereitstellung und Betrieb von Server-Hardware;Server hardware (e.g. Bladeserver);Provisioning and operation of server hardware
44;S044;Storage-Hardware;Bereitstellung und Betrieb von Storage-Hardware;Storage hardware;Provisioning and operation of storage hardware
45;S045;USV-System;Bereitstellung und Betrieb einer unterbrechungsfreien Stromversorgung um kurzfristige Stromausfälle zu überbrücken und Stromschwankungen auszugleichen;UPS system;Provisioning and operation of an uninterruptible power supply to bridge short-term power failures and compensate for current fluctuations
46;S046;Klimaanlagen;Bereitstellung und Betrieb von Klimaanlagen um Räume mit ITK-Equipment auf angemessene Temperatur zu halten;Air conditioning systems;Provisioning and operation of air conditioning in order to keep areas with ICT equipment within an appropriate temperature
47;S047;Switche im Edge-Bereich;Bereitstellung und Betrieb von Switch-Hardware im Edge-Bereich (z.B. Etagenverteiler);Edge switches;Provisioning and operation of switch hardware in the edge area (eg floor distribution rooms)
48;S048;Thin Clients;Bereitstellung und Betrieb von Thin-Client-Hardware;Thin clients;Provisioning and operation of thin-client hardware
49;S049;Workstations (PCs);Bereitstellung und Betrieb von Workstation (PC) -Hardware;Workstations (PCs);Provisioning and operation of workstation (PC) hardware
50;S050;Notebooks (Laptops);Bereitstellung und Betrieb von Notebook (Laptop)-Hardware;Notebooks (Laptops);Provisioning and operation of notebook (laptop) hardware
51;S051;Smartphones;Bereitstellung und Betrieb von Smartphone-Hardware;Smartphones;Provisioning and operation of smartphone hardware
52;S052;Antivirus Software;Bereitstellung und Betrieb eines Systems für die lokale Erkennung und Abwehr von Schadsoftware;Antivirus software;Provisioning and operation of a system for local detection and prevention of malicious software
53;S053;Microsoft Lizenzen;Bereitstellung und Betrieb eines Systems für die Lizensierung von Microsoft  Produkten;Microsoft licenses;Provisioning and operation of a system for the licensing of Microsoft products
54;S054;Backup und Wiederherstellung Hard- und Software;Bereitstellung und Betrieb eines Systems für das Datenbackup und -wiederherstellung;Backup and Restore hard- and software;Provisioning and operation of a system for data backup and recovery
55;S055;WLAN;Bereitstellung und Betrieb von WLAN-Hard- und Software;WLAN;Provisioning and operation of WLAN-hard- and software
56;S056;Multifunktionsdrucker (MFPs);Bereitstellung und Betrieb von Multifunktionsdrucker-Hardware;Multifunction printer (MFPs);Provisioning and operation of multifunctional printer hardware
57;S057;Microsoft Office;Bereitstellung und Betrieb der Microsoft Office -Software;Microsoft Office;Provisioning and operation of the Microsoft Office - Software
58;S058;Kopierer;Bereitstellung und Betrieb von Kopierermaschinen-Hardware;Copy machines;Provisioning and operation of copy machine hardware
59;S059;Drucker;Bereitstellung und Betrieb von Drucker-Hardware;Printer machines;Provisioning and operation of printer hardware
60;S060;ITK-Verkabelung (inkl. Patchkabel);Bereitstellung und Betrieb von ITK-Verkabelung inkl. Zugehörige Patchkabel;ITC cabling (incl. Patching);Provisioning and operation of ITC-cabling incl. Patching and patch cables
61;S061;Blackberry Server;Bereitstellung und Betrieb eines BlackBerry Enterprise Systems;Blackberry server;Provisioning and operation of a BlackBerry Enterprise systems
62;S062;Mobile Device Management - System (MDM);Bereitstellung und Betrieb eines Mobile Device Management (MDM) Systems;Mobile Device Management - System (MDM);Provisioning and operation of a Mobile Device Management (MDM) system
63;S063;Enterprise PIM-Funktionen auf Smartphone bzw. Tablet;Bereitstellung und Betrieb eines Systems für Synchronisation von Unternehmens-E-Mails, - Adressen, -Kontakte, -Termine auf Smartphones und/oder Tablets;Enterprise PIM functions on smartphone respectively tablet;Provisioning and operation of a system for synchronization of corporate e-mail, - addresses, contacts, -dates on smartphones and/or tablets
64;S064;Externe DNS-Verwaltung;Bereitstellung und Betrieb eines Systems für die Verwaltung der Zuordnung von öffentlichen IP-Adressen zu öffentlichen Internet-Domännamen;External DNS-management;Provisioning and operation of a system for managing the allocation and mapping of public IP addresses to public internet domain names
65;S065;Netzwerkraum;Bereitstellung und Betrieb eines Raums für die Unterbringung von passiven und aktiven Netzwerkkomponenten;Cable distribution room;Provisioning and operation of a space for the accommodation of passive and active network components
